iterations,fitness,time,fevals
0,64.0,0.000496932,787
10,65.0,0.000984887,1482
20,64.0,0.001489834,2185
30,72.0,0.001963362,2889
40,71.0,0.00241541,3576
50,71.0,0.002931578,4274
60,73.0,0.00341761,4990
70,77.0,0.003954937,5702
80,79.0,0.00440474,6395
90,74.0,0.004819277,7090
100,76.0,0.005263631,7787
110,76.0,0.005690031,8479
120,75.0,0.006133423,9170
130,77.0,0.006630034,9887
140,75.0,0.007083684,10601
150,76.0,0.00756715,11305
160,77.0,0.008063441,12002
170,77.0,0.008536008,12694
180,78.0,0.00896914,13392
190,79.0,0.00940099,14083
200,80.0,0.00984887,14762
210,81.0,0.010292262,15475
220,80.0,0.010758416,16185
230,79.0,0.01120309,16874
240,80.0,0.011663153,17553
250,76.0,0.012128666,18256
260,78.0,0.012566287,18973
270,78.0,0.013040136,19670
280,81.0,0.01360792,20366
290,79.0,0.014080166,21052
300,79.0,0.014530611,21758
310,81.0,0.014975926,22464
320,80.0,0.015424126,23165
330,80.0,0.01588996,23879
340,82.0,0.016361564,24572
350,82.0,0.016815535,25259
360,81.0,0.017302208,25939
370,80.0,0.017866145,26642
380,80.0,0.018327811,27335
390,82.0,0.018811278,28022
400,82.0,0.019254349,28724
410,80.0,0.019728839,29420
420,83.0,0.020209421,30123
430,81.0,0.020744504,30822
440,83.0,0.021209376,31522
450,84.0,0.021676172,32224
460,83.0,0.022137838,32922
470,83.0,0.022612007,33614
480,83.0,0.023084253,34302
490,82.0,0.023902427,35009
500,83.0,0.024347101,35714
510,82.0,0.024779913,36410
520,84.0,0.025223305,37124
530,86.0,0.025675353,37825
540,85.0,0.028891305,38546
550,86.0,0.029360025,39246
560,83.0,0.029808546,39955
570,85.0,0.030258991,40650
580,85.0,0.030686032,41337
590,85.0,0.031117882,42031
600,86.0,0.031544602,42726
610,83.0,0.031965231,43436
620,84.0,0.032382975,44135
630,82.0,0.032797833,44842
640,82.0,0.033230004,45544
650,82.0,0.033690388,46246
660,82.0,0.03418187,46920
670,81.0,0.034601858,47612
680,81.0,0.035025693,48289
690,81.0,0.035555326,49005
700,82.0,0.036166392,49702
710,81.0,0.036592792,50394
720,81.0,0.037010215,51078
730,78.0,0.037452324,51771
740,77.0,0.037923929,52468
750,81.0,0.038350649,53167
760,82.0,0.038803018,53866
770,83.0,0.039263402,54580
780,82.0,0.039738213,55288
790,83.0,0.040166215,55983
800,82.0,0.040583958,56677
810,81.0,0.041038571,57366
820,84.0,0.0414592,58059
830,84.0,0.04190163,58759
840,86.0,0.042357525,59438
850,85.0,0.042843236,60149
860,84.0,0.043262262,60843
870,85.0,0.043693471,61541
880,84.0,0.044125641,62236
890,86.0,0.044576407,62928
900,81.0,0.045081674,63622
910,82.0,0.045723839,64309
920,79.0,0.046205703,65011
930,78.0,0.046691093,65718
940,79.0,0.047137049,66419
950,78.0,0.047556075,67124
960,79.0,0.047977986,67818
970,81.0,0.048414004,68516
980,85.0,0.048845854,69219
990,81.0,0.049304955,69924
1000,81.0,0.04978778,70621
1010,78.0,0.050206485,71323
1020,76.0,0.050631923,72012
