iterations,fitness,time,fevals
0,63.0,0.010843057,150
1,68.0,0.021431556,450
2,70.0,0.034622375,750
3,71.0,0.046045399,1050
4,74.0,0.056103303,1350
5,77.0,0.067366347,1650
6,79.0,0.07837259,1950
7,81.0,0.087649188,2250
8,87.0,0.096791133,2550
9,88.0,0.105932117,2850
10,90.0,0.115837735,3150
11,91.0,0.12737842,3450
12,94.0,0.135574913,3750
13,93.0,0.143252673,4050
14,95.0,0.153092568,4350
15,96.0,0.161784389,4650
16,98.0,0.178056828,4950
17,99.0,0.190335537,5250
18,99.0,0.197825424,5550
19,100.0,0.204677956,5850
20,100.0,0.213683005,6150
21,100.0,0.220709624,6450
22,100.0,0.230538298,6750
23,100.0,0.238492095,7050
24,100.0,0.244501125,7350
25,100.0,0.25118502,7650
26,100.0,0.257161669,7950
27,100.0,0.266889354,8250
28,100.0,0.276321444,8550
29,100.0,0.284033187,8850
30,100.0,0.291658368,9150
31,100.0,0.297354812,9450
32,100.0,0.302975273,9750
33,100.0,0.309562668,10050
34,100.0,0.315602796,10350
35,100.0,0.325737964,10650
36,100.0,0.334671199,10950
37,100.0,0.340396818,11250
38,100.0,0.346266387,11550
39,100.0,0.352051958,11850
40,100.0,0.363071346,12150
41,100.0,0.368947968,12450
42,100.0,0.374999318,12750
43,100.0,0.380782644,13050
44,100.0,0.390711345,13350
45,100.0,0.397017573,13650
46,100.0,0.403318671,13950
47,100.0,0.409405286,14250
48,100.0,0.415696445,14550
49,100.0,0.421445147,14850
