iterations,fitness,time,fevals
0,56.0,8.97599999999e-06,11
10,59.0,2.2121e-05,21
20,63.0,3.3663e-05,31
30,66.0,4.4243e-05,41
40,68.0,5.5464e-05,51
50,68.0,6.7006e-05,61
60,68.0,7.7586e-05,71
70,69.0,8.81650000001e-05,81
80,74.0,0.000100989,91
90,75.0,0.00011221,101
100,76.0,0.000138179,111
110,78.0,0.00014972,121
120,80.0,0.0001603,131
130,81.0,0.000171521,141
140,81.0,0.000182101,151
150,82.0,0.000193322,161
160,82.0,0.000204864,171
170,82.0,0.000215444,181
180,84.0,0.000226665,191
190,86.0,0.000241092,201
200,86.0,0.000251993,211
210,86.0,0.000264496,221
220,87.0,0.000275076,231
230,87.0,0.000285976,241
240,88.0,0.000300723,251
250,88.0,0.000310982,261
260,89.0,0.000321562,271
270,89.0,0.000331821,281
280,90.0,0.000342081,291
290,90.0,0.000352661,301
300,90.0,0.00036292,311
310,91.0,0.000375103,321
320,91.0,0.000386644,331
330,91.0,0.000400109,341
340,93.0,0.000411971,351
350,94.0,0.000424795,361
360,94.0,0.000436657,371
370,94.0,0.000447237,381
380,94.0,0.000458779,391
390,94.0,0.00046968,401
400,94.0,0.00048026,411
410,95.0,0.000490839,421
420,95.0,0.000503984,431
430,95.0,0.000525144,441
440,95.0,0.000537968,451
450,95.0,0.000548869,461
460,95.0,0.000559129,471
470,95.0,0.000571953,481
480,95.0,0.000581892,491
490,95.0,0.000594075,501
500,95.0,0.000605938,511
510,96.0,0.000616518,521
520,96.0,0.000626456,531
530,96.0,0.000636715,541
540,96.0,0.000646653,551
550,97.0,0.000656591,561
560,97.0,0.000667491,571
570,97.0,0.000678071,581
580,97.0,0.000688651,591
590,97.0,0.00069859,601
600,97.0,0.000711414,611
610,97.0,0.000722956,621
620,97.0,0.000733535,631
630,97.0,0.000743473,641
640,97.0,0.000752771,651
650,97.0,0.00076303,661
660,97.0,0.000772648,671
670,97.0,0.000782586,681
680,97.0,0.000792525,691
690,97.0,0.000803425,701
700,97.0,0.000813684,711
710,98.0,0.000823943,721
720,98.0,0.000833882,731
730,98.0,0.000843821,741
740,98.0,0.000853759,751
750,98.0,0.000864018,761
760,98.0,0.000873636,771
770,99.0,0.000883574,781
780,99.0,0.000896077,791
790,99.0,0.000905695,801
800,99.0,0.000915313,811
810,99.0,0.000926855,821
820,99.0,0.000937114,831
830,99.0,0.000947694,841
840,99.0,0.000959556,851
850,99.0,0.000970136,861
860,99.0,0.000980395,871
870,99.0,0.000990013,881
880,99.0,0.000999631,891
890,99.0,0.00100957,901
900,99.0,0.001019188,911
910,99.0,0.001032333,921
920,99.0,0.001042272,931
930,99.0,0.00105221,941
940,99.0,0.001064073,951
950,99.0,0.001074012,961
960,99.0,0.001083631,971
970,99.0,0.001093891,981
980,99.0,0.001103509,991
990,99.0,0.001113769,1001
1000,99.0,0.00112499,1011
1010,99.0,0.001134608,1021
1020,99.0,0.001144226,1031
1030,99.0,0.001153844,1041
1040,99.0,0.001166027,1051
1050,99.0,0.001175966,1061
1060,99.0,0.001185904,1071
1070,99.0,0.001196163,1081
1080,99.0,0.001206102,1091
1090,99.0,0.001216361,1101
1100,99.0,0.0012263,1111
1110,99.0,0.001236239,1121
1120,99.0,0.001248101,1131
1130,100.0,0.00126349,1141
1140,100.0,0.00127375,1151
1150,100.0,0.001283688,1161
1160,100.0,0.001293306,1171
1170,100.0,0.001303244,1181
1180,100.0,0.001313823,1191
1190,100.0,0.001323441,1201
1200,100.0,0.001337547,1211
1210,100.0,0.001347806,1221
1220,100.0,0.001358065,1231
1230,100.0,0.001368004,1241
1240,100.0,0.001378263,1251
1250,100.0,0.001388202,1261
1260,100.0,0.001398141,1271
1270,100.0,0.00140808,1281
1280,100.0,0.001420583,1291
1290,100.0,0.001430201,1301
1300,100.0,0.00144014,1311
1310,100.0,0.001449758,1321
1320,100.0,0.001459697,1331
1330,100.0,0.001469635,1341
1340,100.0,0.001479573,1351
1350,100.0,0.001489511,1361
1360,100.0,0.00149945,1371
1370,100.0,0.001510992,1381
1380,100.0,0.001520931,1391
1390,100.0,0.00153087,1401
1400,100.0,0.001541129,1411
1410,100.0,0.001551709,1421
1420,100.0,0.001561327,1431
1430,100.0,0.001571586,1441
1440,100.0,0.001581525,1451
1450,100.0,0.001591464,1461
1460,100.0,0.001601082,1471
1470,100.0,0.001613265,1481
1480,100.0,0.001623524,1491
1490,100.0,0.001635386,1501
1500,100.0,0.001645325,1511
