iterations,fitness,time,fevals
0,50.0,8.656e-06,11
10,52.0,2.4045e-05,21
20,53.0,3.17399999999e-05,31
30,54.0,4.03959999999e-05,41
40,58.0,4.7129e-05,51
50,58.0,5.41820000001e-05,61
60,61.0,6.1556e-05,71
70,62.0,6.8288e-05,81
80,64.0,7.5982e-05,91
90,65.0,8.2714e-05,101
100,66.0,9.00880000001e-05,111
110,67.0,9.61800000001e-05,121
120,67.0,0.00010195,131
130,67.0,0.00010708,141
140,68.0,0.000112209,151
150,70.0,0.00011798,161
160,72.0,0.000123751,171
170,74.0,0.00012888,181
180,74.0,0.00013433,191
190,74.0,0.00013978,201
200,75.0,0.00014491,211
210,77.0,0.00015036,221
220,77.0,0.000156131,231
230,78.0,0.000162543,241
240,81.0,0.000167673,251
250,82.0,0.000174726,261
260,83.0,0.000181458,271
270,84.0,0.00019845,281
280,84.0,0.000205824,291
290,86.0,0.000212877,301
300,86.0,0.000219609,311
310,86.0,0.000226662,321
320,88.0,0.000233395,331
330,88.0,0.000240448,341
340,89.0,0.00024718,351
350,90.0,0.000254554,361
360,92.0,0.000260966,371
370,92.0,0.000271866,381
380,93.0,0.000278919,391
390,93.0,0.000285652,401
400,93.0,0.000292385,411
410,94.0,0.000299118,421
420,94.0,0.000306492,431
430,94.0,0.000313546,441
440,94.0,0.000320599,451
450,94.0,0.000327652,461
460,94.0,0.000334385,471
470,94.0,0.000341759,481
480,94.0,0.000350095,491
490,94.0,0.000357789,501
500,95.0,0.000365163,511
510,95.0,0.000371896,521
520,95.0,0.000380232,531
530,95.0,0.000390171,541
540,95.0,0.000398186,551
550,95.0,0.000412614,561
560,95.0,0.000423515,571
570,95.0,0.000432171,581
580,96.0,0.000440187,591
590,97.0,0.000473209,601
600,97.0,0.0004902,611
610,97.0,0.000497253,621
620,97.0,0.000503986,631
630,99.0,0.00051168,641
640,100.0,0.000518733,651
650,100.0,0.000527069,661
660,100.0,0.000533481,671
670,100.0,0.000539893,681
680,100.0,0.000545984,691
690,100.0,0.000552396,701
700,100.0,0.000558808,711
710,100.0,0.000566182,721
720,100.0,0.000572594,731
730,100.0,0.000579327,741
740,100.0,0.000586701,751
750,100.0,0.000593434,761
760,100.0,0.000600167,771
770,100.0,0.000606579,781
780,100.0,0.00061267,791
790,100.0,0.000619082,801
800,100.0,0.000625173,811
810,100.0,0.000631265,821
820,100.0,0.000637677,831
830,100.0,0.000643768,841
840,100.0,0.000649539,851
850,100.0,0.000655631,861
860,100.0,0.000662043,871
870,100.0,0.000668455,881
880,100.0,0.000674867,891
890,100.0,0.000681279,901
900,100.0,0.000687691,911
910,100.0,0.000694103,921
920,100.0,0.000700515,931
930,100.0,0.000706606,941
940,100.0,0.000713338,951
950,100.0,0.00071975,961
960,100.0,0.000726162,971
970,100.0,0.000736742,981
980,100.0,0.000743154,991
990,100.0,0.000749245,1001
1000,100.0,0.000755336,1011
1010,100.0,0.000761107,1021
1020,100.0,0.000769122,1031
1030,100.0,0.000775214,1041
1040,100.0,0.000781306,1051
1050,100.0,0.000787397,1061
1060,100.0,0.000793167,1071
1070,100.0,0.000799258,1081
1080,100.0,0.000805029,1091
1090,100.0,0.000811121,1101
1100,100.0,0.000817213,1111
1110,100.0,0.000822983,1121
1120,100.0,0.000829074,1131
1130,100.0,0.000834844,1141
1140,100.0,0.000841256,1151
1150,100.0,0.000846705999999,1161
1160,100.0,0.000862415,1171
1170,100.0,0.000868506,1181
1180,100.0,0.000874918,1191
1190,100.0,0.00088133,1201
1200,100.0,0.000888063,1211
1210,100.0,0.000893834,1221
1220,100.0,0.000900246,1231
1230,100.0,0.000906338,1241
1240,100.0,0.00091275,1251
1250,100.0,0.00091852,1261
1260,100.0,0.00092429,1271
1270,100.0,0.000930382,1281
1280,100.0,0.000936473,1291
1290,100.0,0.000942885,1301
1300,100.0,0.000949297,1311
1310,100.0,0.000955068,1321
1320,100.0,0.000960838,1331
1330,100.0,0.00096693,1341
1340,100.0,0.000972701,1351
1350,100.0,0.000978472,1361
1360,100.0,0.000984884,1371
1370,100.0,0.000991296,1381
1380,100.0,0.000997387,1391
1390,100.0,0.001003799,1401
1400,100.0,0.001012134,1411
1410,100.0,0.001018867,1421
1420,100.0,0.0010256,1431
1430,100.0,0.001032012,1441
1440,100.0,0.001039066,1451
1450,100.0,0.00104644,1461
1460,100.0,0.001054135,1471
1470,100.0,0.00106183,1481
1480,100.0,0.001068242,1491
1490,100.0,0.001075616,1501
1500,100.0,0.001082028,1511
