iterations,fitness,time,fevals
0,2790.88479199,0.00258052,3902
10,2995.06183035,0.005099484,7184
20,3186.62863336,0.007661409,10474
30,3216.444683,0.010211792,13769
40,3246.6054703,0.012737489,17064
50,3370.12404897,0.015289796,20347
60,3319.9600255,0.017827996,23636
70,3345.16123636,0.020384151,26907
80,3397.98434257,0.022936458,30186
90,3420.54883773,0.025477223,33460
100,3397.52902311,0.028043636,36753
110,3429.02966248,0.030629606,40071
120,3406.66968842,0.033193775,43373
130,3424.47526024,0.035752494,46657
140,3399.22866767,0.038289412,49943
150,3438.37634633,0.040886603,53221
160,3403.81504826,0.043431216,56520
170,3454.46515766,0.046027445,59816
180,3463.82199469,0.048600591,63113
190,3405.36883924,0.051738316,66387
200,3480.47413282,0.05433166,69671
210,3481.51431488,0.05690192,72980
220,3458.61677909,0.0594398,76284
230,3480.76901199,0.062006214,79569
240,3458.7458668,0.065119894,82863
250,3454.71319951,0.067766779,86156
260,3461.01243974,0.070342811,89431
270,3492.69542545,0.072923651,92736
280,3477.04552523,0.075491668,96025
290,3477.41494409,0.078123164,99303
300,3476.17618855,0.080746965,102585
310,3498.56401142,0.083344157,105871
320,3531.64191644,0.085946158,109162
330,3453.17220007,0.088567394,112454
340,3477.40141553,0.091134128,115749
350,3520.22296333,0.093690923,119033
360,3522.17105255,0.096274649,122320
370,3501.35078664,0.098806116,125589
380,3497.07027535,0.101410039,128878
390,3501.92725184,0.104009474,132150
400,3478.8081389,0.106549598,135444
410,3494.48455034,0.109131401,138742
420,3497.89812154,0.111718654,142046
430,3496.4152102,0.1142809,145323
440,3492.49216084,0.116825513,148603
450,3498.9320579,0.11935634,151897
460,3503.90240488,0.121937181,155192
470,3465.67918712,0.124540143,158482
480,3512.25057557,0.127115853,161781
490,3495.22366043,0.129661748,165066
500,3492.03597323,0.132218543,168359
510,3490.81190423,0.134769247,171643
520,3520.91765527,0.137358744,174943
530,3493.58994522,0.139890532,178244
540,3533.14982883,0.142428412,181508
550,3521.47850636,0.144950583,184805
560,3536.41278787,0.147509302,188101
570,3505.31195853,0.150085013,191382
580,3501.65578757,0.152654633,194662
590,3517.17039917,0.155214314,197926
600,3520.07098357,0.157758606,201199
610,3527.25190998,0.160398437,204483
620,3543.92134655,0.162914196,207754
630,3545.13098483,0.165448869,211040
640,3531.13905361,0.168018489,214321
650,3513.8494205,0.17059933,217615
660,3532.39164632,0.173194597,220895
670,3579.44352731,0.175772872,224166
680,3592.31910421,0.178333836,227442
690,3538.76894185,0.180888387,230729
700,3535.65890728,0.183464418,233999
710,3562.8823294,0.186026663,237273
720,3543.04948688,0.188612313,240551
730,3558.29119915,0.191184497,243847
740,3557.75794312,0.194376083,247139
750,3545.52699147,0.196904986,250410
760,3557.09561808,0.199490314,253701
770,3551.07203016,0.202056728,256987
780,3533.66553804,0.204692392,260264
790,3534.30960944,0.207270026,263546
800,3547.82863488,0.209763022,266823
810,3548.21226057,0.212316611,270109
820,3528.77292558,0.214887833,273398
830,3592.02887517,0.217483421,276697
840,3551.30647584,0.219934098,279983
850,3546.2957382,0.222521992,283279
860,3542.46385222,0.225085199,286552
870,3535.1939375,0.227696817,289835
880,3559.37598959,0.23025778,293131
890,3551.21853414,0.232813293,296433
900,3528.66877021,0.235335463,299739
910,3549.89776297,0.237908289,303017
920,3548.05964817,0.240495542,306296
930,3575.62752599,0.243085039,309611
940,3575.73788931,0.245625163,312875
950,3599.39247462,0.248190294,316187
960,3555.06781974,0.250745486,319480
970,3553.87485206,0.25328016,322761
980,3569.32700431,0.255833109,326057
990,3550.02925142,0.25836586,329324
1000,3556.98228654,0.260931953,332605
