iterations,fitness,time,fevals
0,15815.0,0.563569947,10000
10,17724.0,1.166402331,21000
20,18083.0,1.740318082,32000
30,18159.0,2.175180074,43000
40,18164.0,2.687398991,54000
50,18164.0,3.180792841,65000
60,18165.0,3.750092253,76000
70,18165.0,4.314950376,87000
80,18159.0,4.77649954,98000
90,18159.0,5.270937268,109000
100,18159.0,5.77131702,120000
110,18159.0,6.317491782,131000
120,18159.0,6.828382448,142000
130,18159.0,7.323256835,153000
140,18157.0,7.819978847,164000
150,18157.0,8.34400583,175000
160,18157.0,8.885528667,186000
170,18157.0,9.410596643,197000
180,18157.0,9.914246849,208000
190,18157.0,10.478415358,219000
