iterations,fitness,time,fevals
0,2444.10263493,1.4748e-05,11
10,2466.1158826,2.661e-05,21
20,2518.52720445,4.3281e-05,31
30,2668.88088695,5.6425e-05,41
40,2668.88088695,6.7646e-05,51
50,2712.02208472,7.8867e-05,61
60,2885.27900238,9.0088e-05,71
70,2900.90818773,0.00010163,81
80,2954.94929254,0.000115416,91
90,2954.94929254,0.000126637,101
100,3088.091456,0.000137858,111
110,3114.56596285,0.000149399,121
120,3114.56596285,0.000162544,131
130,3175.16755239,0.000173765,141
140,3255.65287567,0.000186589,151
150,3255.65287567,0.000198451,161
160,3255.65287567,0.000209672,171
170,3255.65287567,0.000220893,181
180,3294.228632,0.000232114,191
190,3294.228632,0.000243976,201
200,3294.228632,0.000254876,211
210,3294.228632,0.000266097,221
220,3294.228632,0.000277959,231
230,3294.228632,0.000288859,241
240,3294.228632,0.00030008,251
250,3294.228632,0.000311621,261
260,3294.228632,0.000323163,271
270,3294.228632,0.000334705,281
280,3294.228632,0.000345605,291
290,3294.228632,0.000356826,301
300,3297.85226568,0.000370291,311
310,3297.85226568,0.000381512,321
320,3297.85226568,0.000392734,331
330,3297.85226568,0.000403955,341
340,3297.85226568,0.000415817,351
350,3297.85226568,0.000429924,361
360,3297.85226568,0.000440824,371
370,3297.85226568,0.000452366,381
380,3297.85226568,0.000466472,391
390,3297.85226568,0.000482502,401
400,3297.85226568,0.00049789,411
410,3297.85226568,0.000511034,421
420,3297.85226568,0.000523858,431
430,3297.85226568,0.000536682,441
440,3297.85226568,0.000548865,451
450,3297.85226568,0.000559766,461
460,3297.85226568,0.000571308,471
470,3297.85226568,0.000583812,481
480,3297.85226568,0.000595033,491
490,3297.85226568,0.000606254,501
500,3297.85226568,0.000619719,511
