iterations,fitness,time,fevals
0,0.0223826271451,1.710235421,2000
10,0.0236029638783,3.36146738,4200
20,0.0243241944281,5.045384641,6400
30,0.0251041926011,6.709272656,8600
40,0.0282421123246,8.264291525,10800
50,0.0300093721839,9.829165999,13000
60,0.0300055713549,11.509319721,15200
70,0.0303835786438,13.044700799,17400
80,0.0297233150505,14.664141613,19600
90,0.0298995150179,16.359632901,21800
100,0.0301725575972,18.051300377,24000
110,0.03135088486,19.662403312,26200
120,0.0310865003055,21.31111823,28400
130,0.0302280864678,22.973819699,30600
140,0.0326018698148,24.645668245,32800
150,0.0309126900274,26.273508492,35000
160,0.0322332395597,27.838370141,37200
170,0.0334132941315,29.444187964,39400
180,0.0333420333432,30.98874401,41600
190,0.0332793525725,32.663327926,43800
200,0.0347753540088,34.379487417,46000
210,0.0343401426141,36.02392904,48200
220,0.0340000720594,37.70364963,50400
230,0.0353503648349,39.305911985,52600
240,0.038227069426,40.85194472,54800
250,0.0353649707648,42.418047097,57000
260,0.0371706587634,44.082814201,59200
270,0.0361623675972,45.710317816,61400
280,0.038531855188,47.399842714,63600
290,0.0371679926923,48.942631605,65800
300,0.0376272396301,50.629418568,68000
310,0.0385996647957,52.276052463,70200
320,0.0364711804106,53.87871557,72400
330,0.0360317155446,55.411685085,74600
340,0.0369526489124,56.949805701,76800
350,0.0376993088607,58.452598299,79000
360,0.0374889253944,60.052665497,81200
370,0.0382564194353,61.680148273,83400
380,0.0365158965169,63.173513269,85600
390,0.0377582187173,64.699340748,87800
400,0.0371389730424,66.201328636,90000
410,0.0374991542584,67.741135936,92200
420,0.0384900176108,69.238425733,94400
430,0.0387291680121,70.746729146,96600
440,0.0403321029922,72.247435591,98800
450,0.0395887233636,73.783432544,101000
460,0.0420347908427,75.294875606,103200
470,0.0404250518322,76.790001985,105400
480,0.0397168611728,78.293167762,107600
490,0.0411119162243,79.823970333,109800
500,0.0397212800226,81.38037452,112000
510,0.0403428586505,82.879742134,114200
520,0.0394188537306,84.388799281,116400
530,0.0398938828567,85.912250785,118600
540,0.0391129409221,87.484540446,120800
550,0.0402425895166,88.996632725,123000
560,0.038405066345,90.494628165,125200
570,0.0415293975516,92.010099261,127400
580,0.0406985000574,93.496536705,129600
590,0.039318479013,95.199270055,131800
600,0.0401557442921,96.724291543,134000
610,0.0411369087541,98.311323734,136200
620,0.0407782222544,99.83149228,138400
630,0.0406346248797,101.325881917,140600
640,0.0425700205856,102.867768957,142800
650,0.0416146852554,104.357648055,145000
660,0.0398040064168,105.903112044,147200
670,0.0404329730358,107.47320238,149400
680,0.0411682784446,109.011909697,151600
690,0.0404380056038,110.569906952,153800
700,0.0403681293231,112.099377745,156000
710,0.0416232704666,113.635686002,158200
720,0.0407482859225,115.175231691,160400
730,0.041666689411,116.669666854,162600
740,0.0420840656731,118.143152646,164800
750,0.0423697782547,119.643853961,167000
760,0.0409729748657,121.276747846,169200
770,0.040490112692,122.832788792,171400
780,0.0432457699251,124.451931126,173600
790,0.0437342858204,126.060443283,175800
800,0.0415034424209,127.628955299,178000
810,0.04255097555,129.168189684,180200
820,0.0435344719739,130.705132411,182400
830,0.0430132772134,132.210761689,184600
840,0.0434469093819,133.718805095,186800
850,0.0415276434807,135.374528999,189000
860,0.041359698872,136.885868186,191200
870,0.0431367385396,138.448697865,193400
880,0.0418929492153,140.08580381,195600
890,0.0406884577463,141.665767704,197800
900,0.0418626862638,143.277535246,200000
910,0.0421273882979,144.954279694,202200
920,0.0433641754142,146.602815395,204400
930,0.0431512189337,148.172362632,206600
940,0.0427688903928,149.719921109,208800
950,0.0425457277351,151.292481357,211000
960,0.0434450118101,152.852193509,213200
970,0.0436646605727,154.427409938,215400
980,0.0434232186477,155.967632736,217600
990,0.0427083570068,157.534071743,219800
1000,0.0429579332986,159.269799455,222000
1010,0.0425813030158,160.892556889,224200
1020,0.0428933538902,162.424476755,226400
1030,0.0433459532642,164.06420618,228600
1040,0.0442840646725,165.723600968,230800
1050,0.0441697465665,167.39621543,233000
1060,0.0445284259093,168.941568812,235200
1070,0.0439187114375,170.502094649,237400
1080,0.0437097937685,172.04976726,239600
1090,0.0427555834598,173.56205222,241800
1100,0.0428253764324,175.162161737,244000
1110,0.0439551611037,176.772261832,246200
1120,0.0430101371903,178.37870034,248400
1130,0.0437906528975,179.933176752,250600
1140,0.0441239045077,181.557736607,252800
1150,0.0425798829708,183.196060516,255000
1160,0.0446840982496,184.752309533,257200
1170,0.043883581903,186.257128651,259400
1180,0.0431529964964,187.791085618,261600
1190,0.0432829077096,189.311020446,263800
1200,0.0442270649169,190.917240303,266000
1210,0.0446700810868,192.446581573,268200
1220,0.04357051563,193.963056793,270400
